81,76	58,26	1841,74		217,36
84,87	78,63	3678,23		235,02
59,66	71,61	796,97		80,81
17,32	53,35	2341,79		67,03
66,54	86,19	4074,3		213,56
39,72	43,23	4448,93		100,51
18,7	83,87	2380,8		67,48
8,41	47,78	3399,32		70,81
89,44	96,47	3548,09		226,67
52,96	6,98	2295,25		170,71
33,71	23,57	1182,34		97,66
32,26	15,14	468,81		66,45
9	    27,08	3711,17		70,52
79,01	73,28	2052,14		162,22
53,11	84,97	692,01		67,69
67,9	29,83	586,75		111,57
49,15	65	    4072,57		142,45
59,1	21,26	1207,17		150
65,74	74,72	1074,69		163,31
57,81	54,37	1762,49		190,97
95,37	50,1	2709,62		233,16
63,52	13	    4954,51		208,9
34,08	61,14	2434,19		87,16
7,97	34,7	1506,34		71,02
99,82	65,98	3792,39		232,6
55,21	89,14	4848,63		188,09
91,94	19,12	1834,81		150
43,39	19,95	1372,21		103,36
58,49	96,46	1805,7		150
26,37	47	    3984,16		67,14
87,86	7,36	782,11		150
42	    95,54	287,34		72,72
43,98	19,29	247,29		65,89
17,05	43,41	3938,03		66,76
56,18	74,26	3698,2		184,68
69,05	96,78	2610,88		201,52
82,27	61,16	398,33		97,79
90,96	97,72	3988,15		226,06
31,61	59,07	978,1		74,38
93,02	82,57	500,5		66,59
50,92	49,74	298,62		65,31
19,91	87,69	1370,25		70,4
92,51	33,34	2484,94		204,95
81,88	95,9	4272,93		226,96
49,82	70,12	313,67		65,38
13,26	32,36	2549,97		68,51
20,91	16,59	3830,36		65,03
56,21	19,23	4019,21		184,78
53,28	62,95	4654,34		175,61
23,58	42,48	4672,15		66,57
5,15	97,36	3494,92		73,61
12,28	48,43	779,75		69,56
94,92	92,04	2902,39		218,94
63,66	88,98	3502,42		205,33
82,88	98,45	3769,81		225,7
24,68	59,1	1096,65		73,72
63,04	58,32	2006,2		207,56
83,38	95,28	4298,3		227,26
28,48	41,26	2647,02		74,92
93,19	23,59	4742,39		236,59
95,45	45,59	2340,78		223,4
77,68	97,83	137,97		73,84
29,83	90,21	2148,79		85,1
14,15	56,02	1874,06		68,09
58,23	51,9	1275,13		203,32
29,12	43,43	3294,12		74,34
74,3	93,47	1170,9		150
30,27	15,35	2781,44		75,39
72,33	87,47	4256,89		223,5
